scene	target	cand	class_1	repro	picked	max_secs	detail_1
i4-1-ref-taker	opp_hftbacktest	23	結果なし	結果なし		0.005	adapter: hftbacktest 2.4.4: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pytrendfollow	87	結果なし	結果なし		0.0	adapter: PyTrendFollow (commit 439232ae): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pybotters	12	結果なし	結果なし		0.0	adapter: pybotters 1.11.2: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_freqtrade	75	結果なし	結果なし		0.001	adapter: Freqtrade 2026.8: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pm_backtester	92	結果なし	結果なし		0.0	adapter: prediction-market-backtester (pm_bt): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_rqalpha	53	結果なし	結果なし		0.0	adapter: rqalpha 6.4.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pineforge	70	結果なし	結果なし		0.0	adapter: PineForge (commit 5e62602c, native C API): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_quanttrader	68	結果なし	結果なし		0.0	adapter: quanttrader 0.5.5: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_fast_trade	10	結果なし	結果なし		0.0	adapter: fast-trade 2.1.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_qflib	62	結果なし	結果なし		0.0	adapter: qf-lib 4.0.7: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_zipline_reloaded	18	結果なし	結果なし		0.0	adapter: zipline-reloaded 3.1.1: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_67_lumibot	67	結果なし	結果なし		0.0	adapter: lumibot(6b4ebeda)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_60_hikyuu	60	結果なし	結果なし		0.0	adapter: Hikyuu System(5a1dedbd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_15_backtestingcore	15	結果なし	結果なし		0.0	adapter: BacktestingCore CandleSimulator(f8d81ee0)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_8_opentrader	8	結果なし	結果なし		0.0	adapter: OpenTrader(8b8e2459)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_56_zvt	56	結果なし	結果なし		0.0	adapter: zvt(8509990e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_69_gobacktest	69	結果なし	結果なし		0.0	adapter: gobacktest(719cff68)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_11_octobot	11	結果なし	結果なし		0.0	adapter: OctoBot-Trading(1ad2f4d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_7_superalgos	7	結果なし	結果なし		0.0	adapter: Superalgos(9f0fb59e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_52_lean	52	結果なし	結果なし		0.0	adapter: QuantConnect LEAN FillModel(b1337938)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_57_wondertrader	57	結果なし	結果なし		0.0	adapter: WonderTrader CtaMocker(08b230dd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_94_mote	94	結果なし	結果なし		0.0	adapter: mote/backtest(15bb9f1a)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_80_hummingbot	80	結果なし	結果なし		0.0	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_repro_61_barter	61	結果なし	結果なし		0.0	adapter: barter-rs MockExchange(9770b27a)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_backtrader	2	結果なし	結果なし	選んだ	0.0	adapter: Backtrader 1.9.78.123: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_backtesting	55	結果なし	結果なし		0.0	adapter: backtesting.py 0.6.6: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_vectorbt	73	結果なし	結果なし		0.0	adapter: vectorbt 1.1.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pyalgotrade	122	結果なし	結果なし		0.0	adapter: PyAlgoTrade 0.20: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pybroker	4	結果なし	結果なし		0.0	adapter: PyBroker 2.0.1: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_luczinsritter	16	結果なし	結果なし		0.0	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_vnpy	20	結果なし	結果なし		0.0	adapter: VnPy 4.4.0 + vnpy_ctastrategy 1.4.1 (BAR): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_basana	1	結果なし	結果なし		0.0	adapter: Basana 1.11: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_bt	5	結果なし	結果なし		0.0	adapter: bt 1.2.3: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_qtradex	72	結果なし	結果なし		0.0	adapter: QTradeX 1.8.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_ziplime	6	結果なし	結果なし		0.0	adapter: ziplime 1.19.16: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_qstrader	121	結果なし	結果なし		0.0	adapter: QSTrader 0.3.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_finmarketpy	54	結果なし	結果なし		0.0	adapter: finmarketpy 0.11.19: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pysystemtrade	3	結果なし	結果なし		0.0	adapter: PySystemtrade (commit 8958c49c): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_qlib	21	結果なし	結果なし		0.0	adapter: Qlib (pyqlib 0.9.7): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_hftbacktest	23	結果なし	結果なし		0.0	adapter: hftbacktest 2.4.4: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pytrendfollow	87	結果なし	結果なし		0.0	adapter: PyTrendFollow (commit 439232ae): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pybotters	12	結果なし	結果なし		0.0	adapter: pybotters 1.11.2: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_freqtrade	75	結果なし	結果なし		0.0	adapter: Freqtrade 2026.8: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pm_backtester	92	結果なし	結果なし		0.0	adapter: prediction-market-backtester (pm_bt): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_rqalpha	53	結果なし	結果なし		0.0	adapter: rqalpha 6.4.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_pineforge	70	結果なし	結果なし		0.0	adapter: PineForge (commit 5e62602c, native C API): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_quanttrader	68	結果なし	結果なし		0.0	adapter: quanttrader 0.5.5: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_fast_trade	10	結果なし	結果なし		0.0	adapter: fast-trade 2.1.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_qflib	62	結果なし	結果なし		0.0	adapter: qf-lib 4.0.7: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_zipline_reloaded	18	結果なし	結果なし		0.0	adapter: zipline-reloaded 3.1.1: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_67_lumibot	67	結果なし	結果なし		0.0	adapter: lumibot(6b4ebeda)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_60_hikyuu	60	結果なし	結果なし		0.0	adapter: Hikyuu System(5a1dedbd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_15_backtestingcore	15	結果なし	結果なし		0.0	adapter: BacktestingCore CandleSimulator(f8d81ee0)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_8_opentrader	8	結果なし	結果なし		0.0	adapter: OpenTrader(8b8e2459)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_56_zvt	56	結果なし	結果なし		0.0	adapter: zvt(8509990e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_69_gobacktest	69	結果なし	結果なし		0.0	adapter: gobacktest(719cff68)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_11_octobot	11	結果なし	結果なし		0.0	adapter: OctoBot-Trading(1ad2f4d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_7_superalgos	7	結果なし	結果なし		0.0	adapter: Superalgos(9f0fb59e)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_52_lean	52	結果なし	結果なし		0.0	adapter: QuantConnect LEAN FillModel(b1337938)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_57_wondertrader	57	結果なし	結果なし		0.0	adapter: WonderTrader CtaMocker(08b230dd)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_94_mote	94	結果なし	結果なし		0.0	adapter: mote/backtest(15bb9f1a)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_80_hummingbot	80	結果なし	結果なし		0.0	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-maker	opp_repro_61_barter	61	結果なし	結果なし		0.0	adapter: barter-rs MockExchange(9770b27a)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-2-grid-all	opp_backtrader	2	結果なし	結果なし		0.0	場合 0: adapter: Backtrader 1.9.78.123: maker と taker で違う手数料: 手数料は data feed ごとに 1 つ(brokers/bbroker.py 703 行 comminfo = self.getcommissioninfo(order.data))で、注文の種類で分ける口が無い
i4-2-grid-all	opp_backtesting	55	結果なし	結果なし		0.0	場合 0: adapter: backtesting.py 0.6.6: maker と taker で違う手数料: commission は 1 つ(Backtest(commission=)、_Broker の _commission)で、注文の種類で分ける口が無い / 足 0 の合図: 道具は最初の足で Strategy.next を呼ばない(backtesting.py 1333 行 start = 1 + _indicator_warmup_nbars、1339 行 range(start, len(data)))
i4-2-grid-all	opp_vectorbt	73	結果なし	結果なし		0.0	場合 0: adapter: vectorbt 1.1.0: execution: from_signals に指値(値を決めて待つ注文)の口を探したが無い(portfolio/base.py 2048-2110 行の引数に limit・order_type 無し) / max_hold_bars: 組み込みの時間の止めを探したが無い(from_signals の止めの引数は sl_stop・sl_trail・tp_stop だけ)。numba の signal_func_nb で書く道はあるが、この adapter は書いていない / maker と taker で違う手数料: fees は
i4-2-grid-all	opp_pyalgotrade	122	結果なし	結果なし		0.002	場合 2: adapter: PyAlgoTrade 0.20: swap_daily_pct: 持ち越し・金利の口を探したが無い(pyalgotrade/broker の grep swap・carry・interest・financ 0 件)
i4-2-grid-all	opp_pybroker	4	結果なし	結果なし		0.0	場合 0: adapter: PyBroker 2.0.1: slippage_pct: 値に掛ける滑りの口を探したが無い(slippage.py の SlippageModel.apply_slippage は株数を変える) / spread_pct: スプレッドの口を探したが無い(fill price は PriceType か値の指定だけ) / maker と taker で違う手数料: fee_mode の関数が受ける FeeInfo は symbol・shares・fill_price・order_type(buy/sell)だけで、指値か成行かを受けない(common.py 249
i4-2-grid-all	opp_luczinsritter	16	結果なし	結果なし		0.0	場合 0: adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): execution: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engine.py 74・92・110 行) / stop_loss_pct: 指値・逆指値の注文の口を探したが無い(注文は enter_long / enter_short / close_position の 3 つだけ: backtest_engi
i4-2-grid-all	opp_vnpy	20	結果なし	結果なし		0.0	場合 0: adapter: VnPy 4.4.0 + vnpy_ctastrategy 1.4.1 (BAR): slippage_pct: 率の滑りの口を探したが無い(set_parameters の slippage は 1 単位あたりの額) / spread_pct: スプレッドの口を探したが無い(BAR mode は足の OHLC で交差を決める) / maker と taker で違う手数料: set_parameters の rate は 1 つ / 決済ごとの損益の口を探したが無い(engine.trades は約定、calculate_result は日次の損益) / 足ごと
i4-2-grid-all	opp_basana	1	結果なし	結果なし		0.0	場合 0: adapter: Basana 1.11: allow_short: 空売りは Exchange の lending(create_loan で借りた base を売る: exchange.py 395-436 行)で、この adapter は借入の段取りを書いていない(道具に売り建ての注文そのものは無い) / slippage_pct: 値に率で掛ける滑りの口を探したが無い(liquidity は出来高の割合と価格の影響の模型) / spread_pct: スプレッドの口を探したが無い(足の値で約定する) / maker と taker で違う手数料: fee_strategy 
i4-2-grid-all	opp_bt	5	結果なし	結果なし		0.0	場合 0: adapter: bt 1.2.3: execution: 指値・逆指値の注文の口を探したが無い(bt の取引は日時の値での数量: Strategy.transact) / stop_loss_pct: 指値・逆指値の注文の口を探したが無い(bt の取引は日時の値での数量: Strategy.transact) / take_profit_pct: 指値・逆指値の注文の口を探したが無い(bt の取引は日時の値での数量: Strategy.transact) / maker_fee_pct: 指値・逆指値の注文の口を探したが無い(bt の取引は日時の値での数量: Strategy.t
i4-2-grid-all	opp_qtradex	72	結果なし	結果なし		0.0	場合 0: adapter: QTradeX 1.8.0: execution: 待つ注文(指値・逆指値)の口を探したが無い(合図は 1 本の足でだけ効く: backtest.py 55-96 行) / stop_loss_pct: 待つ注文(指値・逆指値)の口を探したが無い(合図は 1 本の足でだけ効く: backtest.py 55-96 行) / take_profit_pct: 待つ注文(指値・逆指値)の口を探したが無い(合図は 1 本の足でだけ効く: backtest.py 55-96 行) / allow_short: 売り建ての口を探したが無い(PaperWallet は現物の残
i4-2-grid-all	opp_ziplime	6	結果なし	結果なし		0.0	場合 0: adapter: ziplime 1.19.16: execution: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / stop_loss_pct: この adapter は成行だけを送る(ziplime.finance.execution の LimitOrder / StopOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / take_profit_pct: この adapte
i4-2-grid-all	opp_qstrader	121	結果なし	結果なし		0.0	場合 0: adapter: QSTrader 0.3.0: 戦略は AlphaModel が日付ごとに目標の重みを返す形で(qstrader/alpha_model/alpha_model.py 13・22 行)、合図の足の次の始値に注文を送る口・数量や名目額で建てる口・逆指値や指値の口を探したが無い。データは日足の CSV(CSVDailyBarDataSource)で、1 分・1 時間の足を受けない
i4-2-grid-all	opp_finmarketpy	54	結果なし	結果なし		0.0	場合 0: adapter: finmarketpy 0.11.19: Backtest.calculate_trading_PnL(br, asset_a_df, signal_df, contract_value_df, run_in_parallel)(backtest/backtestengine.py 121 行)は価格の表と建玉の割合の表から収益率の系列を出す形で、注文(種類・値・数量・時刻)・約定の記録・決済ごとの損益を返す口を探したが無い
i4-2-grid-all	opp_pysystemtrade	3	結果なし	結果なし		0.0	場合 0: adapter: PySystemtrade (commit 8958c49c): 注文の模擬は fill_list_of_simple_orders(list_of_orders, fill_datetime, market_price) に 1 つの値を渡す形(systems/accounts/order_simulator/fills_and_orders.py、SimpleOrder は整数の数量)で、足の OHLC を受けて次の足の始値で約定させる口・逆指値・時間切れの口を探したが無い(注文の模擬器は価格の系列 1 本の次の値で約定を決める: pandl_order_si
i4-2-grid-all	opp_qlib	21	結果なし	結果なし		0.0	場合 0: adapter: Qlib (pyqlib 0.9.7): 注文は qlib.backtest.decision.Order(stock_id, amount, direction, start_time, end_time)(decision.py 37-62 行)で値・逆指値・時間切れの欄が無く、足は qlib の自前のデータの形(dump_bin で作る bin。配布物に CSV の読み口が無い: 項目 1 の記録)からしか読まない。メモリ上の足を渡す口を探したが無い
i4-2-grid-all	opp_hftbacktest	23	結果なし	結果なし		0.0	場合 0: adapter: hftbacktest 2.4.4: 入力は板の深さと約定の事象(BacktestAsset.data、HashMapMarketDepthBacktest: hftbacktest/__init__.py 118・189 行)で、足(OHLC)を受ける口を探したが無い。足を事象に作り直すのは adapter の計算になる
i4-2-grid-all	opp_pytrendfollow	87	結果なし	結果なし		0.0	場合 0: adapter: PyTrendFollow (commit 439232ae): trading.accountcurve.accountCurve(instruments, positions=..., panama_prices=...) は建玉の系列と価格の系列から収益の式 4 本を出す形で(項目 2 の記録)、注文・約定の記録・決済ごとの損益を返す口を探したが無い
i4-2-grid-all	opp_pybotters	12	結果なし	結果なし		0.0	場合 0: adapter: pybotters 1.11.2: 取引所の API の client と DataStore だけで、バックテスト(模擬の時刻・注文・約定)の口を探したが無い(項目 0・1 の記録)
i4-2-grid-all	opp_freqtrade	75	結果なし	結果なし		0.0	場合 0: adapter: Freqtrade 2026.8: Backtesting(config) は取引所の口を作り(optimize/backtesting.py 170 行 ExchangeResolver.load_exchange)、その初期化で ccxt の load_markets を呼ぶ(exchange/exchange.py 302・472・689-713 行 = ネットワーク)。外部に何も渡さない規則のもとで取引所の市場の情報なしに走らせる口を探したが無い
i4-2-grid-all	opp_pm_backtester	92	対応なし	2 回の実行で同じ	選んだ	0.0	場合 0: MarketSnapshot: ValueError: mid_price must be within [0, 1]
i4-2-grid-all	opp_rqalpha	53	結果なし	結果なし		0.0	場合 0: adapter: rqalpha 6.4.0: execution: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / stop_loss_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消を道具の口で書いていない) / take_profit_pct: この adapter は成行だけを送る(逆指値の注文は道具に無い。LimitOrder は在るが、決済の水準の管理と時間切れの取消
i4-2-grid-all	opp_pineforge	70	結果なし	結果なし		0.0	場合 0: adapter: PineForge (commit 5e62602c, native C API): execution: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / stop_loss_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の t
i4-2-grid-all	opp_quanttrader	68	結果なし	結果なし		0.0	場合 0: adapter: quanttrader 0.5.5: maker_fee_pct: 手数料・滑りの率を渡す口を探したが無い(backtest_brokerage.py 30-49 行: 銘柄の型ごとの固定の式、型の無い銘柄は価値の 1 bp) / slippage_pct: 手数料・滑りの率を渡す口を探したが無い(backtest_brokerage.py 30-49 行: 銘柄の型ごとの固定の式、型の無い銘柄は価値の 1 bp) / spread_pct: 手数料・滑りの率を渡す口を探したが無い(backtest_brokerage.py 30-49 行: 銘柄の型ごとの固定の
i4-2-grid-all	opp_fast_trade	10	結果なし	結果なし		0.0	場合 0: adapter: fast-trade 2.1.0: run_backtest(backtest, df=) は規則の表(enter / exit の条件)を OHLCV の表の全体に当てて評価し、取引は残高の全部を足の終値で行い、手数料は 1 つの comission の率(run_backtest.py 79・209 行、項目 2 の読み)。数量・名目額・注文の時刻・次の足の始値・指値・逆指値を渡す口を探したが無い
i4-2-grid-all	opp_qflib	62	結果なし	結果なし		0.0	場合 0: adapter: qf-lib 4.0.7: execution: 指値の注文の型を探したが無い(order/execution_style.py の型は MarketOrder・MarketOnCloseOrder・StopOrder の 3 つ) / take_profit_pct: 指値の注文の型を探したが無い(order/execution_style.py の型は MarketOrder・MarketOnCloseOrder・StopOrder の 3 つ) / 1 分以外の足: この adapter は Frequency.MIN_1 の会期だけを作る / 手数料の模型
i4-2-grid-all	opp_zipline_reloaded	18	結果なし	結果なし		0.0	場合 0: adapter: zipline-reloaded 3.1.1: 1 分以外の足を渡す口を探したが無い(bundle は minute と daily だけ) / 手数料は set_commission の 1 つだけで、maker と taker に別の率を置く口が無い / 決済ごとの損益を出す口を探したが無い(結果は transactions と portfolio_value)
i4-2-grid-all	opp_repro_67_lumibot	67	結果なし	結果なし		0.0	場合 0: adapter: lumibot(6b4ebeda)(再現): slippage_pct: 滑り・スプレッドの口を探したが無い(lumibot/backtesting/backtesting_broker.py(6b4ebeda) の約定値は 1193-1215 行で始値・指値・逆指値そのもので、slippage・spread の語は 0 件) / spread_pct: 滑り・スプレッドの口を探したが無い(lumibot/backtesting/backtesting_broker.py(6b4ebeda) に slippage・spread の語は 0 件) / 滑り・スプレッ
i4-2-grid-all	opp_repro_60_hikyuu	60	結果なし	結果なし		0.0	場合 0: adapter: Hikyuu System(5a1dedbd)(再現): execution: 指値の注文が無い(System は合図・逆指値・目標で翌足の始値に売買する要求だけ: hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 689-733・919-962 行) / allow_short: 再現していない: 空売りの経路(_sellShort・_buyShort、hikyuu_cpp/hikyuu/trade_sys/system/System.cpp(5a1dedbd) 1098-1250 行)は全部は読んで
i4-2-grid-all	opp_repro_15_backtestingcore	15	結果なし	結果なし		0.0	場合 0: adapter: BacktestingCore CandleSimulator(f8d81ee0)(再現): execution: 指値の注文が無い(合図は BUY / SELL / CLOSE / HOLD の 4 つで、約定は次の足の始値: backtest/src/candle_sim.rs(f8d81ee0) 525-530 行) / 手数料の率は commission_rate 1 つで、maker と taker に別の率を置く口が無い(232-247 行)
i4-2-grid-all	opp_repro_8_opentrader	8	結果なし	結果なし		0.0	場合 0: adapter: OpenTrader(8b8e2459)(再現): stop_loss_pct: 逆指値の注文の型が無い(packages/backtesting/src/market-simulator.ts(8b8e2459) の約定は Market と Limit だけ: 108-166 行) / allow_short: 売り建ての口が無い(smart trade は entry の買いと take-profit の売りだけ: packages/backtesting/src/market-simulator.ts(8b8e2459) 71-91 行) / maker_f
i4-2-grid-all	opp_repro_56_zvt	56	結果なし	結果なし		0.0	場合 0: adapter: zvt(8509990e)(再現): execution: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / stop_loss_pct: 指値・逆指値の注文の型が無い(注文は long / short / close_long / close_short だけ: src/zvt/trader/sim_account.py(8509990e) 514-540 行) / take_pro
